"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Diekman, Jake","L","90.5","98.2",,,,"38.6",
"Ponce de Leon, Daniel","R","90.4",,"34.9","91",,,
"Pannone, Thomas","L","90.4",,,"86",,,"79.8"
"Paxton, James","L","90.4",,"22.3",,,,"50.4"
"Bieber, Shane","R","90.4",,,"88.6",,"18.1","82.9"
"García, Jarlín","L","90.3",,,"92.6",,"32.3",
"Guerrero, Tayron","R","90.2","91.8",,"94.4",,"21.8",
"Smith, Joe","R","90.2","96.8",,,,"74.9",
"Buchter, Ryan","L","90.2",,"54.6",,,,"66.3"
"Gausman, Kevin","R","90.2",,,"87.9",,"14.5",
"Reid-Foley, Sean","R","90.2","96.2",,"87",,"30.9","75.7"
"Jiménez, Joe","R","90.1",,,"78.5",,"32.4",
"Fields, Josh","R","90.1",,,"69.8",,,"73.1"
"Duffy, Danny","L","90","91.3",,"83.3",,"28.8","88"
"Grimm, Justin","R","89.8",,,,,"33","91"
"Thornburg, Tyler","R","89.8",,,"82.1",,,"77"
"Richards, Trevor","R","89.7",,,"74.1",,"28.9",
"Butler, Eddie","R","89.7","98.5","24.4","95.1",,,"27.6"
"Mengden, Daniel","R","89.7","93.7","24.5","85.4",,"31.5","96.7"
"McGee, Jake","L","89.6",,,,,"33.3",
"Saupold, Warwick","R","89.4",,,"91",,"28.2","80.6"
"Stanek, Ryne","R","89.3",,,,,"15.4",
"Beeks, Jalen","L","89.3",,"41.8","88.1",,,"78.5"
"Odorizzi, Jake","R","89.2",,"55.3",,,"41.2","74.1"
"Moore, Matt","L","89.2",,"55.9","88.9",,,"66.2"
"Castillo, Luis","R","89.2","96.6",,"85.3",,"12.9",
"Skoglund, Eric","L","89.1","91.1",,"86.6",,,"35.7"
"Morris, Akeel","R","89.1",,,"62.2",,"24.7",
"Santiago, Héctor","L","89.1","88.7",,"84.8",,"29.1","51.2"
"Vieira, Thyago","R","89.1",,,,,"30.7",
"Anderson, Chase","R","89.1","94.4","51.4","93",,,"76.2"
"Hardy, Blaine","L","89.1",,"40.8","90.2",,,"87.4"
"Plutko, Adam","R","89",,,"70.9",,"33.1","66.5"
"Báez, Pedro","R","89","93.4",,"85.6",,"28.2",
"Nicasio, Juan","R","88.9","91.5",,,,"28.6",
"Morton, Charlie","R","88.9","92.1","25.9",,,,"90.5"
"Hendriks, Liam","R","88.9","92.6",,,,"23.8",
"Peralta, Wily","R","88.8",,,"83",,"20.8",
"Guerra, Javy","R","88.8",,,"84.6",,"39.1","50"
"Morrow, Brandon","R","88.7",,"33.5",,,"35.9",
"Ferguson, Caleb","L","88.7",,,"80.2",,,"89.4"
"Bashlor, Tyler","R","88.7",,,"81.9",,"46.8",
"Albers, Matt","R","88.7","94.4",,"85.2",,"29.4",
"Barnes, Matt","R","88.7",,,,,,"62.5"
"Cashner, Andrew","R","88.7","94.7",,"83.3",,"25.5","51.2"
"Johnson, Pierce","R","88.7",,"30.5",,,,"70.7"
"Bundy, Dylan","R","88.6","91.7",,"83.6",,"24.4","77.1"
"Farmer, Buck","R","88.5",,,"86.4",,"11.8",
"Rodríguez, Richard","R","88.4",,,,,"35.4",
"Rumbelow, Nick","R","88.4",,,"83.2",,"18.5",
"Devenski, Chris","R","88.4",,,"84.6",,"37.6",
"De La Rosa, Jorge","L","88.3",,"31.5",,,,"74.3"
"Salas, Fernando","R","88.3",,,"83.7",,,"22"
"Miller, Shelby","R","88.3",,"31.9",,,,"54.9"
"Wheeler, Zack","R","88.2","92.4","29.4","85.9",,,"66.9"
"Mayers, Mike","R","88.2",,,,,"19.1",
"Díaz, Miguel","R","88.2",,,"80.9",,"31.1",
"Peña, Félix","R","88.2","94.7",,"75.4",,"31.9",
"Straily, Dan","R","88.1","91.9",,"72.6",,"26.1",
"Barria, Jaime","R","88","91.4",,"80.5",,"23.7",
"Hernandez, David","R","88","92.4","24.7","64.5",,,"54.9"
"Santana, Edgar","R","88","92",,"70.6",,"16.7",
"Giles, Ken","R","87.9",,,,,"11.9",
"Sipp, Tony","L","87.8",,,,,"8.9",
"Wood, Hunter","R","87.8",,,"86",,"35.6","92.7"
"Leiter Jr., Mark","R","87.8","94","35.5",,,,"92.5"
"Jerez, Williams","L","87.7",,,"90.1",,"20.7",
"Casilla, Santiago","R","87.7","94.8",,"95.8",,"56.5","60.2"
"Osuna, Roberto","R","87.6","93.1","54.8","88.2",,"31.3",
"Kennedy, Ian","R","87.5","91.3","32.5","83.7",,"30","81.3"
"Díaz, Edwin","R","87.5",,,,,"19.7",
"McAllister, Zach","R","87.5","96.8",,,,,"45.3"
"Koch, Matt","R","87.4",,"40","80.6",,,"53.3"
"Mayza, Tim","L","87.4","89.1",,,,"14.3",
"Hellickson, Jeremy","R","87.4","90.7","61.6","70.1",,,"72.6"
"Rodney, Fernando","R","87.4","90.7",,"85.4",,,
"Gallardo, Yovani","R","87.3","87.2",,"89.9",,"40.5","43.5"
"Archer, Chris","R","87.3","91.1",,"79.8",,"26","51.9"
"Maurer, Brandon","R","87.3","90.6",,"84.4",,"42.2",
"Jepsen, Kevin","R","87.3",,,,,,"35.2"
"Carle, Shane","R","87.3",,,"81.3",,"19.9","62.8"
"Mitchell, Bryan","R","87.2",,"37.6","88.8",,,"71.3"
"James, Josh","R","87.2",,,"86.6",,"44.4",
"Swarzak, Anthony","R","87.2",,,,,"22.9",
"Rucinski, Drew","R","87.2","95.2","37.9","77.2",,"24.1","35.7"
"Gonzales, Marco","L","87.2",,"47.5","85.8",,,"72.5"
"Clippard, Tyler","R","87.1",,,"87.3",,"29.7",
"Iglesias, Raisel","R","87.1","90",,"91",,"38.4",
"Ramírez, Neil","R","87.1","89.5",,,,"31",
"Chafin, Andrew","L","87","93.3",,,,"14.4",
"Hill, Tim","L","87","84",,,,"25.1",
"Wilson, Justin","L","87",,"50.2",,,"35",
"Garrett, Amir","L","86.9","94.2",,"89.4",,"14.8",
"Lauer, Eric","L","86.8",,"43.9","84",,"24.2","55.8"
"Peacock, Brad","R","86.8","93.2",,,,"62.1","81.5"
"Lyles, Jordan","R","86.8","93.3",,"87.6",,"28.7","70.8"
"Farrell, Luke","R","86.8",,,"74.9",,"13.3","66.8"
"Harvey, Matt","R","86.7","87.7",,"90.3",,"25.5","34.2"
"Kennedy, Brett","R","86.7",,,"81.8",,"16.9",
"Vargas, Jason","L","86.7","89.3",,"87.9",,,"68.3"
"Chavez, Jesse","R","86.6","93.7","64.1","85.7",,"27.5","84.5"
"Strahm, Matt","L","86.6",,"31.5","85.9",,,"66"
"Eovaldi, Nathan","R","86.3",,"38.1",,,"22.7","69.4"
"Kershaw, Clayton","L","86.2",,,,,"52.2","84.7"
"Pérez, Martín","L","86.2","96.9",,"90.4",,"22.7","51.3"
"Suárez, Andrew","L","86.1","87.2",,"87.3",,"30.4","58.3"
"Kela, Keone","R","86.1",,,,,,"41.3"
"Nix, Jacob","R","86.1",,,"83.3",,"31.4","88.5"
"Nola, Aaron","R","86.1","92.1",,"86.3",,,"89.7"
"Anderson, Justin","R","86","89.7",,,,"45.3",
