"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Martínez, Adrián","R",,"97.7",,"73.7",,"15.7",
"Covey, Dylan","R",,"79.1","62",,,"31",
"Bachman, Sam","R",,"98.5",,,,"10.1",
"Sánchez, Cristopher","L",,"97.9",,"94",,"35.8",
"Alvarado, José","L",,"96","40.9",,,,
"Keuchel, Dallas","L",,"84.8","38.5","90.1",,"29.6",
"Castro, Miguel","R",,"97.3",,"94.5",,"49.5",
"Mayza, Tim","L",,"87.4",,,,"16.8",
"Hernández, Jonathan","R",,"91",,"94.8",,"30.6",
"Peguero, Elvis","R",,"92.9",,,,"16.5",
"Jansen, Kenley","R",,"97.4","78.6",,,"49.1",
"Bernardino, Brennan","L",,"76.6",,"93.7",,,"65.9"
"Whitlock, Garrett","R",,"99.3",,"90.1",,,
"Burnes, Corbin","R",,"70.1","57.3","72.5",,"47.4","73.5"
"Jacques, Joe","L",,"97.1",,,,"63.3",
"Llovera, Mauricio","R",,"83.3","47.2",,,"53.5",
"Schmidt, Clarke","R",,"51.7","35.8","47.4",,,
"Cordero, Jimmy","R",,"89.6",,,,"34.6",
"Smyly, Drew","L",,"98.6","64.2",,,,
"Ashcraft, Graham","R",,"48.9","43.1",,,"49.5",
"Faucher, Calvin","R",,"91.1","25.8",,,,"67"
"Kelley, Trevor","R",,"96.2",,,,"17.9",
"Criswell, Cooper","R",,"84","38.1","87.2",,,
"Holmes, Clay","R",,"74.4",,,,"30.3",
"Naile, James","R",,"78.6",,"84.7",,,"57.3"
"King, John","L",,"82.6",,"94.3",,"17.3",
"Clase, Emmanuel","R",,,"57",,,"38",
"Lawrence, Justin","R",,"82.7",,,,,
"Matz, Steven","L",,"99.2",,"83.2",,"44.8","77.1"
"Blach, Ty","L",,"99.3","32.4","99.3",,,"53.4"
"Bird, Jake","R",,"73.6","43.2",,,"44.4","83.3"
"Carasiti, Matt","R",,"96.4","67.9",,,,
