"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Yacabonis, Jimmy","R",,"100",,,,"33.4",
"Hader, Josh","L",,"100",,"81.2",,"50",
"Neshek, Pat","R",,"90.3",,"63.9",,"28.4",
"Qualls, Chad","R",,"86.4",,,,"36.2",
"McCarthy, Kevin","R",,"100",,"100",,"32.2",
"Duke, Zach","L",,"76.6",,,,"51.8","70.2"
"Cishek, Steve","R",,"89",,,,"64.6",
"Claudio, Alex","L",,"88.7",,"81.4",,"30",
"Rowley, Chris","R",,"88.5",,"100",,"20.5",
"Hart, Donnie","L",,"91.3",,"88.7",,"40.3",
"Loup, Aaron","L",,"92.9","18.6","82.2",,,"79.6"
"Castro, Miguel","R",,"97.2",,"96.1",,"23.8",
"Davies, Zach","R",,"99.9","46.1","91.9",,,"75.2"
"Scahill, Rob","R",,"85.1",,,,"32","56.7"
"Heaney, Andrew","L",,"93.2",,"89.6",,,"26.8"
"Sabathia, CC","L",,"88.1","61.9","70.5",,"66.8",
"Moylan, Peter","R",,"100",,"100",,"30.5",
"Avilán, Luis","L",,"100",,"77.3",,,"55.9"
"Shaw, Bryan","R",,,"47.7",,,"64.4",
"Jansen, Kenley","R",,"100","88.9",,,"41.8",
"Watson, Tony","L",,"88.5",,"94.7",,"29.9",
"Ziegler, Brad","R",,"86.3",,"74.8",,,"67.9"
"Wood, Alex","L",,"100",,"96.7",,,"34.3"
"Solís, Sammy","L",,"100",,"92.1",,,"53.5"
"Grace, Matt","L",,"86.7",,"86",,"28.9",
"Pelfrey, Mike","R",,"100",,,,"24.4","64.7"
"Fedde, Erick","R",,"88.8","36.4","76",,,"55"
"Matz, Steven","L",,"89.1",,"83.6",,"22.7","60.3"
"Manaea, Sean","L",,"88.6",,"59.9",,"19.7",
"Collmenter, Josh","R",,,"83.2","91.5",,,"62.1"
"McFarland, T.J.","L",,"85.3",,"80.6",,"37.4",
"Gómez, Jeanmar","R",,"90.9",,"77",,"38.3",
"Fister, Doug","R",,"91.5","29.3","84.9",,,"71.2"
"Bergman, Christian","R",,"94",,"91.6",,"55","44.7"
"Rzepczynski, Marc","L",,"94.5",,"82.1",,"30.3",
"Boshers, Buddy","L",,"100",,"88.9",,,"37.4"
"Pazos, James","L",,"97.6",,,,"28.1",
"Smith, Caleb","L","100",,,"100",,"19.5",
"Breslow, Craig","L","100","100",,"100",,,"59.7"
"McGrath, Kyle","L","100",,,"100",,,"58.4"
"Stephenson, Robert","R","100",,,,,"26.1","28"
"Uehara, Koji","R","100",,,,,,
"Lorenzen, Michael","R","100","100","48.7","99.7",,"24.3","30.6"
"Hill, Rich","L","100","100","68.1",,,"75.5","83.2"
"Anderson, Tyler","L","100","100","55","94.3",,,
"Dayton, Grant","L","100",,,,,,"42.9"
"Neverauskas, Dovydas","R","100",,"39.1",,,,"48.8"
"Fields, Josh","R","100",,,"77.2",,,"65.2"
"Mahle, Tyler","R","100",,,"97.2",,"26.6",
"Gant, John","R","100","100",,"91.8",,,"68.8"
"Kershaw, Clayton","L","100","100",,"100",,"55.7","71"
"Estrada, Marco","R","100",,"48","98",,,"58.2"
"McGee, Jake","L","100",,,,,"39.8",
"Kintzler, Brandon","R","100","100",,"100",,"31.8",
"Robles, Hansel","R","100","100",,"100",,"26",
"Hardy, Blaine","L","100",,"52","97.4",,,"75.4"
"Iglesias, Raisel","R","100","98.1",,"98.4",,"48.2",
"Gausman, Kevin","R","100",,,"100",,"22.4",
"Wojciechowski, Asher","R","100",,,"96.6",,"67.2",
"Miranda, Aríel","L","100",,,,,"71.2",
"Gallegos, Giovanny","R","100",,,,,"31.1",
"Yates, Kirby","R","100","100",,,,"31.9",
"O'Grady, Chris","L","100",,"43.1","86.2",,,"28.5"
"Merritt, Ryan","L","100",,"70.2","100",,,"34.6"
"Kuhl, Chad","R","100","100",,"100",,"23.6","64.4"
"Maurer, Brandon","R","100",,,"99.1",,"31.8",
"Pérez, Oliver","L","100","100",,,,"65.5",
"Cole, Gerrit","R","100","100",,"100",,"24.7","64.8"
"Vizcaíno, Arodys","R","100","100",,"100",,"27.7",
"Moore, Matt","L","100",,"70.1","93.1",,,"38.4"
"Kennedy, Ian","R","100","100",,"100",,"33.6","72"
"Swarzak, Anthony","R","100",,,,,"25.1",
"Farquhar, Danny","R","100",,,"100",,,"70.7"
"Madson, Ryan","R","100","99.1",,"89.9",,,"64.1"
"Bibens-Dirkx, Austin","R","100","100",,"89.7",,"35","36.2"
"Motte, Jason","R","100","100","29.5",,,,
"Báez, Pedro","R","100","98.6",,"95.4",,"47.1",
"Ramírez, Neil","R","100","96.7",,,,"33.5","42"
"Grilli, Jason","R","100","100",,"100",,"47.1",
"Griffin, A.J.","R","100",,"40.6","93.5",,,"85.8"
"Milner, Hoby","L","100","89.8",,"95.8",,"60.3",
"Peralta, Wily","R","100","100",,"97.1",,"19.8","16.7"
"Shipley, Braden","R","100","93.7",,"89.7",,,"75"
"Syndergaard, Noah","R","100","100",,"100",,"38","34.3"
"Feliz, Neftalí","R","100",,,"100",,"28.7",
"Drake, Oliver","R","100",,,,,,
"Socolovich, Miguel","R","100",,,"88.9",,"36",
"Mitchell, Bryan","R","100","96.6","50.4",,,,"58.1"
"Wilson, Justin","L","100",,"50.3",,,"27.3",
"Albers, Andrew","L","100","100",,"83.6",,"17.2","61.1"
"Steckenrider, Drew","R","100",,,"89.7",,,"26.1"
"Young, Chris","R","100",,,,,"47.3",
"Shreve, Chasen","L","100",,,,,"26.3",
"Devenski, Chris","R","100",,,"88.2",,"31",
"Wilk, Adam","L","100",,,"96.3",,"36.8","29.8"
"Moore, Andrew","R","100",,,"93.5",,"27.8","28.1"
"Barnes, Danny","R","100",,,"88.9",,"31.9",
"Verlander, Justin","R","100",,"55.2","95.8",,"28.9","62.8"
"Rondón, Bruce","R","100",,,"100",,"21.6",
"Stewart, Brock","R","100","100",,"93.5",,"37",
"Gray, Jon","R","100",,,"87.7",,"42.4","56.7"
"Díaz, Dayan","R","99.8",,,"73.2",,"24.7",
"Hatcher, Chris","R","99.7",,"89.2",,,"40.6","24.2"
"Odorizzi, Jake","R","99.7",,"57.7",,,"33.9","62.7"
"Tonkin, Michael","R","99.5","96.4","57.4",,,"29.1",
"Allen, Cody","R","99.5",,,,,,"66.4"
"Romero, Enny","L","99.3",,,,,"42",
"Castillo, Luis","R","99.2","100",,"85.7",,"18.2",
"Straily, Dan","R","99.2","100",,"85.1",,"36.7","52"
"Espino, Paolo","R","99.1","100",,"84.8",,"37.3","94.9"
"Morrow, Brandon","R","99.1",,"48",,,"32.9",
"Nicolino, Justin","L","98.8",,"51.7","91.5",,,"39.5"
"Gibson, Kyle","R","98.7","98.9",,"87.2",,"32.4","42.9"
"Doolittle, Sean","L","98.7",,,,,"48.5",
"Strasburg, Stephen","R","98.7","100",,"93.5",,"49.7","69.6"
"Beck, Chris","R","98.7","100",,"94.9",,"27.5",
"Cotton, Jharel","R","98.6","99.1",,"65.8",,"43.8","42.2"
"Pressly, Ryan","R","98.5","91",,,,"38.4","68.5"
"Taylor, Ben","R","98.4","93.5",,"92.4",,"26.8",
"Guerra, Javy","R","98.2",,,,,"54.9","45.6"
"Berríos, José","R","98.1","100",,"94.7",,"73.9",
"López, Reynaldo","R","98",,,"100",,,"23"
"Hoffman, Jeff","R","97.9","100",,"87.2",,"41.8","88.7"
"Ramirez, José","R","97.8",,,"94.6",,"27.5",
"Stanek, Ryne","R","97.8",,,,,"22.7",
"Hahn, Jesse","R","97.7","100",,"86.4",,"29.7","87.4"
"Rodríguez, Francisco","R","97.6",,,"85.4",,,"67.6"
"Delgado, Randall","R","97.5","100",,"96.9",,"31.8","31.5"
"Anderson, Chase","R","97.4","100","58.1","100",,,"59"
"Váldez, José A.","R","97.4","91.7",,,,"25.6",
"Pivetta, Nick","R","97.4","100",,"88.8",,"46.2","77.3"
"Ryu, Hyun Jin","L","97.4","93.9","44.7","100",,"25.9","76.5"
"Zych, Tony","R","97.2","100",,,,"81.8",
"Grimm, Justin","R","97.2","98.7",,,,,"70.7"
"Butler, Eddie","R","97.1","100","42.3","99.7",,,"31.9"
"Smith, Chris","R","97.1",,,"80.4",,,"24.1"
"McAllister, Zach","R","97","94.9",,,,,"42.6"
"Fulmer, Carson","R","96.9",,"38.8","100",,,"38.1"
"Sewald, Paul","R","96.9",,,"94.2",,"28.8",
"Maeda, Kenta","R","96.7","95.1","60.4","83.2",,"50.6","67.6"
"Siegrist, Kevin","L","96.6",,,"93.4",,,"68.5"
"Nicasio, Juan","R","96.6","98.7",,"83",,"36.7",
"Brebbia, John","R","96.6","98.8",,,,"38.6",
"Peralta, Wandy","L","96.5","99.7",,"73.8",,"29.7",
"Guerra, Deolis","R","96.4",,,"81.4",,"42.1","90.6"
"Peña, Félix","R","96.4",,,"99.1",,"39",
"Harvey, Matt","R","96.4","100",,"100",,"37.5","30.6"
"Salas, Fernando","R","96.3",,,"86.3",,,"22.1"
"Schugel, A.J.","R","96.3","100",,"86.3",,,"72.1"
"Ureña, José","R","96.3","95.7",,"97.2",,"40.4",
"Hildenberger, Trevor","R","96.2","84.8",,"72.8",,"37.3",
"Jackson, Luke","R","96.2",,,,,"26.7","59"
"Clippard, Tyler","R","96.1",,,"97.5",,"30",
"Sanchez, Aaron","R","96.1","100",,"100",,,"79.6"
"Wacha, Michael","R","96","100","50.9","84.3",,,"76.1"
"Dickey, R.A.","R","95.8",,,,,,"67.6"
"Adleman, Tim","R","95.7","90",,"91",,,"62"
"Rondón, Héctor","R","95.7","100",,"95.4",,"30.4",
"Bauer, Trevor","R","95.7","100","32.3","91.7",,,"86.2"
"Chen, Wei-Yin","L","95.7","100",,"89.1",,"41","59.5"
"Mengden, Daniel","R","95.7",,,"83.3",,"32.3","91.3"
"Albers, Matt","R","95.6","96.8",,"69.1",,"42.5",
"García, Jarlín","L","95.6",,,"94.9",,"31.8",
"Petricka, Jake","R","95.5","100",,"99.1",,"36.9",
"Knebel, Corey","R","95.5",,,,,,"83.8"
"González, Miguel","R","95.4","100",,,,"41.1","47.4"
"Morton, Charlie","R","95.4","99.4","20.7",,,,"78.4"
"Lamet, Dinelson","R","95.4","98.4",,"97.5",,"39.2",
"Giolito, Lucas","R","95.3","100",,"77.7",,"16.5","82.6"
"Kelly, Joe","R","95.3","96.4",,"90.4",,"26.7","60.7"
