"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Jansen, Kenley","R",,"93.8","78.2",,,"48.1",
"Kintzler, Brandon","R",,"92.3",,"96.6",,"17.7",
"García, Luis","R",,"85.4",,,,"43.7",
"Wood, Alex","L",,"99.1",,"94.4",,"25.9",
"Scrubb, Andre","R",,,"68.8",,,"34",
"Cousins, Jake","R",,"97.4",,,,"39.3",
"Yardley, Eric","R",,"99.2",,"99.4",,,"71.3"
"Santana, Edgar","R",,"81.2",,,,"14.4",
"Anderson, Brett","L",,"93.5","56.4","94",,"43.1",
"Garcia, Bryan","R",,"96.4",,"97.3",,"28.4",
"Loup, Aaron","L",,"93.4","14.4","98.7",,,"78.3"
"Romano, Sal","R",,"82",,,,"22.8",
"Yarbrough, Ryan","L",,"97.4","40.5","93",,,"73.6"
"Sherriff, Ryan","L",,"93",,,,"28.9",
"Fleming, Josh","L",,"92.2","47.2","82.4",,,"61.2"
"Dunning, Dane","R",,"78.3","35.8","99",,"59.7",
"Luetge, Lucas","L",,,"43.8",,,"44.9","85.8"
"King, John","L",,"83.3","52.8","95.5",,"34.3",
"Britton, Zack","L",,"83.2",,,,"45.1",
"McCullers Jr., Lance","R",,"75.1","25.6","94.1",,"43.3",
"Holmes, Clay","R",,"76.6",,,,"20.1","72.4"
"Valdez, Phillips","R",,"96.4",,"87",,"37.7",
"Doval, Camilo","R",,,"66.2",,,"45.3",
"Lucchesi, Joey","L",,"87.6","85.1",,,,"30.8"
"Poppen, Sean","R",,"94.7",,"96.5",,"61.2",
"Bleier, Richard","L",,"81.7","38",,,"53.7",
"Lawrence, Justin","R",,"84.9",,,,,
"Smith, Riley","R",,"87.4","32.5","95.1",,"26.5","72.9"
"Castro, Miguel","R",,"97.5",,"92.2",,"47.5",
"Singer, Brady","R",,"83.8",,"97.2",,"26",
"Clay, Sam","L",,"90.9",,"88.7",,"33.2",
"Smyly, Drew","L",,"99.3","71",,,,
"Bummer, Aaron","L",,"83.1","16.5",,,,
"Crichton, Stefan","R",,"96.8",,"94.1",,,"76.9"
"de Geus, Brett","R",,"85.2","28.2",,,,"78.7"
"Hader, Josh","L",,"99",,"97.6",,"17.5",
"Clase, Emmanuel","R",,,"58.9",,,"33.2",
"Bruihl, Justin","L",,"70.2","36.7",,,"53.8",
"Dolis, Rafael","R",,"91.2",,,,"36.1",
"Greene, Shane","R",,"89.2","42.3","90",,,
"Matz, Steven","L",,"99.4",,"86.5",,"39.6","82.3"
"Zeuch, T.J.","R",,"88.3","33.5","97.9",,"18.2",
"Mayza, Tim","L",,"93.5",,,,"18.3",
"Borucki, Ryan","L",,"95.8",,"88.9",,"18.5",
"McFarland, T.J.","L",,"87.4",,"96.8",,"50.8",
"Peacock, Matt","R",,"94.3",,"97.9",,"11",
"Alexander, Scott","L",,"78.8",,"92",,"31.4",
"González, Victor","L",,"99.3",,,,"15.9",
"Stammen, Craig","R",,"92.5","62.6",,,,
"Davies, Zach","R",,"98.6","78","97.9",,"29","66.7"
"Barnes, Charlie","L",,"97.7",,"99.2",,"21.9","61.1"
"Dobnak, Randy","R",,"88",,"97.1",,"20.4",
"Arrieta, Jake","R",,"85",,"91",,"42.9","78.3"
"Uceta, Edwin","R",,"96.3",,"89.1",,,"37"
"Sadler, Casey","R",,"81.5","27.1",,,,"62.4"
"Suero, Wander","R",,,"60","69.4",,,"71.2"
"Rogers, Taylor","L",,"94.4",,,,,
"Ramirez, Nick","L",,"95","62.4","98.1",,"30.6",
"Barnes, Matt","R","99.7",,,"92.4",,,
"Mahle, Tyler","R","99.7",,"47.3",,,"38",
"Santiago, Héctor","L","99.6",,,"89.5",,"40.2",
"Neidert, Nick","R","99.6",,,"98.1",,"39.5","85"
"Anderson, Ian","R","99.6",,,"98.6",,,"64.1"
"Banda, Anthony","L","99.6",,,"96.1",,,"46"
"Hammer, JD","R","99.5",,,,,"29.6",
"Robles, Hansel","R","99.5",,,"95.3",,"41.5",
"Greene, Conner","R","99.5","99.6",,"98.3",,"27.2","54.9"
"Gray, Josiah","R","99.5",,,"99.2",,"24.9","23.6"
"Gonzales, Marco","L","99.5",,"74.1","96.6",,,"77.7"
"Gomber, Austin","L","99.5",,,"96.3",,"34.8",
"Williams, Devin","R","99.5",,,"79",,"35.5",
"Burrows, Beau","R","99.4",,,"98.1",,"22.8",
"Baragar, Caleb","L","99.4",,,,,"35.3",
"Richards, Trevor","R","99.4",,,"76.4",,,"18.9"
"Giolito, Lucas","R","99.3",,,"98.7",,"28.4","76.2"
"Heaney, Andrew","L","99.3",,,"99.2",,"47.5","42"
"Plesac, Zach","R","99.3",,,"98.8",,"54.2","62.5"
"Whitley, Kodi","R","99.2",,,"99.3",,"43.7",
"Cotton, Jharel","R","99.2",,,"77.4",,"30","68.2"
"Odorizzi, Jake","R","99.2",,"62.5",,,"47.4","66.7"
"Rogers, Josh","L","99.1",,,"99.2",,"17.7",
"Gallegos, Giovanny","R","99.1",,,"98.3",,"13.1",
"Stanek, Ryne","R","99.1",,,,,"21.9",
"García, Jarlín","L","99.1",,,"98.4",,"37.1",
"Morgan, Eli","R","99.1",,"92.8","85.7",,"35.9","67.6"
"Kowar, Jackson","R","99.1",,,"86.5",,"45.5",
"Lowther, Zac","L","99",,,"99.2",,"54.3","94.2"
"Urquidy, José","R","99",,,"97.7",,,"81.2"
"Brebbia, John","R","98.9",,,,,"40.2",
"Doolittle, Sean","L","98.9",,,,,"44.4","37.7"
"Weathers, Ryan","L","98.9","99.1",,"97.9",,"36.2",
"Smith, Caleb","L","98.8",,,"99.4",,"34.8","53.7"
"Finnegan, Kyle","R","98.8",,,,,"46.8",
"Nolin, Sean","L","98.8",,"47.7","96.3",,,"93.7"
"Cabrera, Génesis","L","98.8","95.8",,"98.9",,,"74.7"
"Swanson, Erik","R","98.8",,,,,"31",
"Bowden, Ben","L","98.8",,,"98.8",,"20.9",
"Estévez, Carlos","R","98.7",,,"94.5",,"34.1",
"Abreu, Albert","R","98.7","99",,"98.8",,"27.9",
"Springs, Jeffrey","L","98.7",,,"98.8",,"31.2",
"Hoffman, Jeff","R","98.7",,,,,"44.6","83.7"
"Paddack, Chris","R","98.6",,,"93",,,"96.9"
"Eickhoff, Jerad","R","98.6",,,"82.3",,"31.7","59.7"
"Faria, Jake","R","98.6",,,,,"41.3","94"
"Kuhl, Chad","R","98.6","97.2",,"95.5",,"31.1",
"Conley, Adam","L","98.5",,,"97.1",,"16.5",
"Wacha, Michael","R","98.5","97.8","55.9","89.1",,,"83.7"
"Luzardo, Jesús","L","98.5","98.1",,"98.8",,"13.1",
"Anderson, Tyler","L","98.4","97.1","47.5","97.3",,"23.8","49.6"
"Benjamin, Wes","L","98.4",,"29.5","97.1",,,"70.4"
"Thorpe, Lewis","L","98.4",,,"96.6",,"52.7","85.1"
"Holland, Derek","L","98.4","98.8",,"95.5",,,
"Diekman, Jake","L","98.4","98.5",,,,,
"Long, Sam","L","98.4",,,"93.6",,"52.1","73.4"
"Sampson, Adrian","R","98.4","98.6","16.6","99.2",,"34.2",
"Canning, Griffin","R","98.4",,,"94.7",,"14","39.2"
"Heuer, Codi","R","98.3",,,"88.1",,"33.9",
"Johnson, Pierce","R","98.3",,,,,,"52.1"
"Vesia, Alex","L","98.3",,,"99.6",,"37.6",
"Irvin, Cole","L","98.3","96.9",,"98.8",,"18.7","54.4"
"Cole, Gerrit","R","98.3","98.6",,"98.7",,"26",
"Ryu, Hyun Jin","L","98.2","97.7","55","99.3",,"27.8","83.5"
"Wilson, Justin","L","98.1",,"57.5",,,"37.6",
"De Los Santos, Enyel","R","98",,,"99.5",,"12.5",
"Walker, Taijuan","R","98","96.7",,,,"35.8","72.8"
"Stephenson, Robert","R","98",,,,,"45","58.2"
"De León, José","R","98",,,"97.8",,"60.7",
"Ynoa, Huascar","R","97.9",,,"99",,"34.4",
"Hill, Tim","L","97.9","96",,,,"46",
"Cobb, Alex","R","97.9","96.8",,,,,
"Lauer, Eric","L","97.9",,"69.2","97.1",,"44.7","46.9"
"Stashak, Cody","R","97.8",,,,,"28.6",
"Ríos, Yacksel","R","97.8","96.4",,,,"28.5",
"Detmers, Reid","L","97.8",,,"97",,"31.1","92.7"
"Harvey, Matt","R","97.8","97.9",,"97.8",,"31.7","62.6"
"Foster, Matt","R","97.8",,"75.3","96.4",,"36.8",
"Buchter, Ryan","L","97.8",,"50.6",,,,"57"
"Whitlock, Garrett","R","97.7","97.9",,"91.5",,"29.6",
"Moore, Matt","L","97.7",,"74.9","98.4",,,
"Rodón, Carlos","L","97.6",,,"98.9",,"28.3","63.5"
"Wells, Alex","L","97.6",,,"98.5",,"31.6","76.1"
"Gausman, Kevin","R","97.6",,,"93.6",,"20.5",
"McGee, Jake","L","97.6",,,,,"22.4",
"Díaz, Edwin","R","97.6",,,,,"28.1",
"Mears, Nick","R","97.5",,,,,,"73.6"
"Hudson, Daniel","R","97.5",,,"96.9",,"22.7",
"Kennedy, Ian","R","97.5",,"34.2","97.7",,"38.3",
"Goudeau, Ashton","R","97.5",,,"99",,,"84.7"
"Vest, Will","R","97.4",,,"99.3",,"32.3",
"Jax, Griffin","R","97.4",,,"99.4",,,"66.8"
"Howard, Sam","L","97.4",,,"96.7",,"25.4",
"Littell, Zack","R","97.4",,,,,"43.2",
"Pivetta, Nick","R","97.4",,,"98.5",,"34.4",
"Rodríguez, Richard","R","97.4",,,,,"47.3",
"Bieber, Shane","R","97.3",,"39.3","98.6",,"16.8",
"Pérez, Martín","L","97.3","97.1","61.1","99.4",,,"40.7"
"Sulser, Cole","R","97.3",,,"82.4",,"39.4","71.8"
"Díaz, Miguel","R","97.3",,,"93.4",,"40.5",
"Means, John","L","97.2",,,"98.1",,"52.8","56.2"
"McKenzie, Triston","R","97.2",,,"96.9",,"42.3","67.9"
"Evans, Demarcus","R","97.2",,"52.9",,,,"27.1"
"Brogdon, Connor","R","97.2",,"62","99.4",,,
"Sborz, Josh","R","97.2",,,,,"11","79"
"Milner, Hoby","L","97.1","98.2",,"99",,,
"Bednar, David","R","97.1",,,,,,"77"
"Colomé, Alex","R","97.1",,"51",,,,
"Steckenrider, Drew","R","97.1",,,"97.9",,,"49.5"
"Webb, Jacob","R","97",,,"96.9",,,"73.2"
"Guerra, Deolis","R","96.9","96.4",,"92",,"34.9","97.7"
"Gant, John","R","96.9","96.3","27","96.4",,"33.6","79.2"
"Albers, Andrew","L","96.9","97.6",,"98.9",,"26.5","79"
"Akin, Keegan","L","96.9",,,"95.3",,"28.9","47.4"
"Overton, Connor","R","96.9","95.8",,"97.6",,"11.8","92.7"
"Wisler, Matt","R","96.9",,,,,"25.8",
"Eovaldi, Nathan","R","96.9",,"69.2",,,"43.1","78"
"Ryan, Joe","R","96.9",,,"99.7",,"21.5","76.9"
"Nola, Aaron","R","96.8","95.7","46.5","99.3",,,
"Ponce de Leon, Daniel","R","96.8",,"59.5","97.4",,,"70"
"McClanahan, Shane","L","96.8",,,"98.7",,"22.8","55"
"Duffy, Danny","L","96.7","94.4",,"92.3",,"40.4","92.5"
"Fernández, Junior","R","96.7","97.6",,"91.4",,"39.1",
"Barlow, Joe","R","96.6",,,,,"44.5","59.6"
"Bass, Anthony","R","96.6","94.2",,,,"36.7",
"López, Jorge","R","96.6","94.8",,"98.3",,"23.8",
"Brothers, Rex","L","96.6",,,,,"13.4",
"Nelson, Nick","R","96.5",,,"99.3",,"40.6","78.9"
"Megill, Tylor","R","96.5",,,"98.2",,"22.3","56.1"
"Patton, Spencer","R","96.5",,,,,"31.3",
"Sawamura, Hirokazu","R","96.5",,,,,"24.2",
"Pearson, Nate","R","96.5",,,,,"34.2",
"Howard, Spencer","R","96.4","94.3","47.9","99.3",,"34.1","99"
"Kopech, Michael","R","96.3",,,"90.9",,"42.3","67.8"
"Archer, Chris","R","96.2",,,"92.1",,"36.3",
"Hendriks, Liam","R","96.2",,,,,"21","64.7"
"Clippard, Tyler","R","96.2","94.7",,"97.4",,"42.9","67.3"
"Quantrill, Cal","R","96.1","96.4","36.4","97.3",,"24.3","30.2"
"Shreve, Chasen","L","96.1",,,,,"41.6",
"Abbott, Cory","R","95.9",,,"95.2",,"58.1","66.5"
"Kranick, Max","R","95.9",,,"99.4",,"55.3","54.8"
"López, Reynaldo","R","95.9",,,"92.3",,"43.1","73.2"
"Peralta, Wily","R","95.9","97.3",,,,"15.2",
"Mejía, Humberto","R","95.8","96.7",,"89.5",,"34.6","65.9"
"Chafin, Andrew","L","95.8","94.4",,,,"27.4",
"Farmer, Buck","R","95.8",,,"89.7",,"13",
"Alcala, Jorge","R","95.7","92.9",,"97.1",,"29.9",
"Santillan, Tony","R","95.7",,,"96.8",,"43.2",
"Falter, Bailey","L","95.7","95.1",,"95.2",,"57.9","54"
"Foltynewicz, Mike","R","95.7","95",,"98.1",,"24.9","40.9"
"Jackson, Luke","R","95.7",,,,,"41","71.6"
"Allard, Kolby","L","95.7",,"46.8","99",,,"74.6"
"Feliz, Michael","R","95.6",,,"98",,"40.7",
"Peralta, Wandy","L","95.6","95.6",,"88.1",,"28.6",
"Gray, Jon","R","95.5",,,"97.9",,"31.1","80.2"
"Newsome, Ljay","R","95.4",,,"79.5",,,"37.9"
"Machado, Andrés","R","95.4","92.1",,"92.4",,"37.3",
"Crochet, Garrett","L","95.4",,,"99",,"33.4",
"Weaver, Luke","R","95.4",,,"85.8",,"54.3","51.8"
"Kremer, Dean","R","95.4",,"51.8","93.1",,,"90.5"
"Kikuchi, Yusei","L","95.3",,"56.8","87.3",,"31.6",
"Dunn, Justin","R","95.3",,,"87.9",,"39.6","56.1"
"Workman, Brandon","R","95.3",,"45.4",,,,
"Detwiler, Ross","L","95.1","94.4","23.3","94.7",,,"69.6"
"Karinchak, James","R","95.1",,,,,,"53.4"
"Peterson, David","L","95","95.6",,"98.8",,"25.1",
"Manaea, Sean","L","94.9","96.7",,"94.7",,"26.2",
"Alvarado, José","L","94.8","93.1","32.5",,,,"58.8"
"Arihara, Kohei","R","94.8","93.6","58","89.6",,"29.4","81.9"
"Staumont, Josh","R","94.8","88.5",,,,,"84.6"
"DeSclafani, Anthony","R","94.8","93.4",,"97.2",,"35.4",
"Oviedo, Luis","R","94.8",,,"91.2",,"42","95.7"
"LeBlanc, Wade","L","94.8","94.2","64.2","99",,,"64.6"
"Bradley, Archie","R","94.7","95.1",,"98.5",,,
"Ellis, Chris","R","94.6",,,"94.2",,"25.6","54.5"
"Tepera, Ryan","R","94.6","97.6",,"91.4",,"35.3",
"Plutko, Adam","R","94.6",,"61.8",,,"38.6","70.3"
"Skubal, Tarik","L","94.5","94.2",,"97.8",,"27.3",
"Miller, Shelby","R","94.5",,"51.9",,,"62.2",
"Kelly, Joe","R","94.4","93",,"98.3",,,
"deGrom, Jacob","R","94.4",,,"89.9",,"34.3",
"Wells, Tyler","R","94.3",,"49.4","96.3",,,"54.8"
"Anderson, Chase","R","94.2","93.5","51.9","99.6",,"28.9","91.9"
"Gilbert, Logan","R","94.2",,,"97.8",,"36.3",
"Javier, Cristian","R","94.1",,,"97.1",,"39.7",
"Sanchez, Aaron","R","94.1","92.4",,"97.9",,,"80.8"
"Anderson, Drew","R","94",,,"95.2",,"28","78.3"
"Tate, Dillon","R","94","92.2","25.6","99.1",,,
"Cortes, Nestor","L","93.9","91.9","40.2","98.5",,,
"Brice, Austin","R","93.9","95.7",,,,,"39.2"
