"","Relative Importance"
"WHIP",0.320267624257105
"H9",0.299082066447258
"BB9",0.20154953814484
"W",0.0493976223688749
"FIP",0.0490384300075339
"ERA",0.0407683123512233
"SO",0.039896406423165
