entity_id,entity_name,entity_code,team_id,total_pitches,total_pitches,total_pitches_empty,median_seconds_empty,total_pitches_onbase,median_seconds_empty,freq_hot,freq_warm,freq_cold
669854,Ronel Blanco,Pit,117,459,459,286,13.863,173,13.863,0.40305010893246185,0.5882352941176471,0.008714597
676596,Josh Fleming,Pit,134,1682,1682,1088,13.9,594,13.9,0.40249702734839476,0.5802615933412604,0.017241379310344827
686651,Levi Stoudt,Pit,113,111,111,61,13.905,50,13.905,0.45045045045045046,0.5495495495495496,0
680702,Joey Gerber,Pit,136,115,115,69,13.953,46,13.953,0.4260869565217391,0.5652173913043478,0.008695652
666154,Karl Kauffmann,Pit,115,266,266,150,13.979,116,13.979,0.42481203,0.57518797,0
660593,Denyi Reyes,Pit,121,192,192,113,13.983,79,13.983,0.3958333333333333,0.5989583333333334,0.005208333
660730,Elvin Rodriguez,Pit,139,283,283,201,13.985,82,13.985,0.43109540636042404,0.5441696113074205,0.024734982332155476
621389,Ty Blach,Pit,115,3230,3230,1977,14.014,1253,14.014,0.40990712074303404,0.5789473684210527,0.011145510835913313
474463,Brett Anderson,Pit,158,3328,3328,2182,14.014,1146,14.014,0.44381009615384615,0.5441706730769231,0.012019231
642558,Ariel Jurado,Pit,121,1399,1399,935,14.047,464,14.047,0.41601143674052893,0.5546819156540386,0.029306647605432452
680570,Grayson Rodriguez,Pit,110,971,971,643,14.059,328,14.059,0.46446961894953653,0.5303810504634398,0.005149331
663658,Thaddeus Ward,Pit,120,357,357,183,14.075,174,14.075,0.37254901960784315,0.6218487394957983,0.005602241
592836,Taijuan Walker,Pit,143,5460,5460,3746,14.135,1714,14.135,0.4282051282051282,0.5496336996336997,0.022161172161172162
676272,Bobby Miller,Pit,119,923,923,631,14.158,292,14.158,0.47562296858071507,0.5189599133261105,0.005417118
683175,Connor Phillips,Pit,113,173,173,109,14.171,64,14.171,0.4161849710982659,0.5838150289017341,0
669674,Sam Long,Pit,133,1005,1005,615,14.183,390,14.183,0.3850746268656716,0.5950248756218905,0.019900498
681892,Kody Funderburk,Pit,142,125,125,66,14.184,59,14.184,0.504,0.496,0
672582,Angel Zerpa,Pit,118,429,429,264,14.186,165,14.186,0.38694638694638694,0.6037296037296037,0.009324009
