"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Sánchez, Cristopher","L",,"96.2",,"81.4",,"44.2",
"Bassitt, Chris","R",,"89.2","52.7",,,"36.2","94.8"
"Wood, Alex","L",,"99.7",,"96.7",,"47",
"Yarbrough, Ryan","L",,"97.1","60.3","94.6",,,"68.4"
"Burnes, Corbin","R",,,"61.5","70.3",,"46.3","75"
"Schmidt, Clarke","R",,"61","42.9",,,,
"Pérez, Martín","L",,"97.8","67","99.7",,,"23.5"
"Whitlock, Garrett","R",,"98.5","36.2","92.5",,"49",
"Houck, Tanner","R",,"78.5","13.7",,,"59",
"Bello, Brayan","R",,"93.9",,"99.5",,"19.8",
"Fedde, Erick","R",,"74.4","52",,,,
"Alvarado, José","L",,"96.2","54.1",,,,
"Valdez, Framber","L",,"76.5",,"78",,"27.2","73.4"
"Quantrill, Cal","R",,"98.4","36.6","98.1",,,"33.1"
"Matz, Steven","L",,"99.7",,"81.3",,"31",
"Gonzales, Marco","L","99.4","99.4","54.2","98",,,"55.5"
"Luzardo, Jesús","L","99.1",,,"98.2",,"11.9",
"Gomber, Austin","L","99.1",,,"98",,"31.8",
"Strider, Spencer","R","99.1",,,,,"36.5","58.2"
"Bradford, Cody","L","99",,,"99.8",,,"63.8"
"Wacha, Michael","R","99","97.2","46.7","84.3",,,"81.9"
"Detmers, Reid","L","98.9",,,"87.7",,"26.2","88"
"Gray, Josiah","R","98.9","97.8","53.4","79.2",,"47.6","36.3"
"Crawford, Kutter","R","98.7",,"44.8",,,,
"Miller, Bobby","R","98.6","98.2",,"97.3",,"44.2","75.1"
"Blanco, Ronel","R","98.5",,,"97.1",,"44.4",
"Imanaga, Shota","L","98.3",,,,,,
"Rodriguez, Grayson","R","98.3",,"39.7","89.8",,,"77.8"
"Ragans, Cole","L","98.3",,"60.2","99.6",,"14.7",
"Skubal, Tarik","L","97.5","95.2",,"83.8",,"32.5",
"Manaea, Sean","L","97.5",,"62.4","91",,,
"Gausman, Kevin","R","97.5",,,,,,
"Pepiot, Ryan","R","97.4",,,"87",,"44.6",
"Harrison, Kyle","L","97.1",,,"99.5",,,
"Kremer, Dean","R","96.8","90.3","38.8",,,,"66.7"
"Nelson, Ryne","R","96.8",,"64.3","99.7",,"47.6",
"Stone, Gavin","R","96.7","98.2","66.3","97.6",,"18.6",
"Thompson, Zack","L","96.6",,,,,"22.6","90.4"
"Littell, Zack","R","96.2","94.2",,,,"44.7",
"Hancock, Emerson","R","96.2","95.1",,"99.1",,"38.2",
"Eovaldi, Nathan","R","96.2",,"57.6",,,,"80.6"
"Sears, JP","L","96.1","91.2",,"98.6",,,
"Pivetta, Nick","R","95.9",,"50.7",,,,"76.4"
"Weathers, Ryan","L","95.9",,,"85.4",,,
"Falter, Bailey","L","95.8",,,,,"59.5","52"
"Greene, Hunter","R","95.8",,,,,"43.1",
