"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Montas, Frankie","R","88","94.5",,,,"28.2",
"Ramirez, Nick","L","88","89.2","37.8","82",,,"51.3"
"Guerra, Junior","R","87.8","92.3",,,,,"53.3"
"Mahle, Tyler","R","87.8",,"45.4",,,,"50.8"
"Markel, Parker","R","87.8","87.7",,,,"49.4",
"Bradley, Archie","R","87.8","95.4",,"82.1",,,"55.4"
"Pérez, Oliver","L","87.7","94",,,,"42.8",
"Hernandez, David","R","87.7","88.2","24.9",,,,"35.3"
"Nicasio, Juan","R","87.5","91.6",,,,"25.7",
"Gonsolin, Tony","R","87.5",,,,,"28.6","73.5"
"Giles, Ken","R","87.4",,,,,"11.9",
"Osuna, Roberto","R","87.3","93.1","52.8","87.8",,"34.4",
"McGee, Jake","L","87.3",,,,,"18.5",
"Garrett, Amir","L","87.3","88.2",,,,"15.7",
"Hill, Tim","L","87.3","83.3",,,,"28.2",
"Alaniz, R.J.","R","87.3","89.1",,"86.9",,"31.9",
"Quantrill, Cal","R","87.2","94.6",,"76.2",,"17.3","33.1"
"Koch, Matt","R","87.2",,"32.9","82.7",,,"45.3"
"Stephenson, Robert","R","87.1",,,,,"25.7",
"Cole, A.J.","R","87.1",,,,,"22.9","26.8"
"Rogers, Josh","L","87.1",,,"80.7",,"26.6",
"Elías, Roenis","L","87","95",,"90.9",,,"88.4"
"Strahm, Matt","L","86.9","92.6","31.9","85.4",,,"36.5"
"Harvey, Matt","R","86.9",,,"91.5",,"23.3","39"
"Thorpe, Lewis","L","86.7",,,"77.3",,"33.3","92.1"
"Pomeranz, Drew","L","86.7","88.7","54","83.2",,,"75"
"Pérez, Martín","L","86.7","95.8","30.4","89.9",,,"42.2"
"Swarzak, Anthony","R","86.6","94.4",,,,"23.8",
"Sipp, Tony","L","86.6",,,,,"17.8",
"Weber, Ryan","R","86.5","92.5",,"77.5",,"87.5","93.1"
"Yamamoto, Jordan","R","86.4",,"28.5","83.6",,"70.8","87.2"
"LeBlanc, Wade","L","86.3","90.5","46.4","80.8",,,"68.5"
"Cortes, Nestor","L","86.3","87.3",,"83.6",,"29.1","30.4"
"Eovaldi, Nathan","R","86.3",,"41.3",,,"39.3","59.2"
