"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Chavez, Jesse","R",,"93.8","65.1","96.6",,,"74.5"
"Smyly, Drew","L",,"98.8","72.8",,,,
"Rogers, Taylor","L",,"90.9",,,,,
"Thompson, Mason","R",,"92.6",,,,"28.9",
"Bruihl, Justin","L",,"69.6","38.7",,,"57.1",
"Uceta, Edwin","R",,"92.6",,"81.2",,,"48.5"
"Snider, Collin","R",,"67.9",,"70.6",,"37.9",
"Cuas, Jose","R",,"80",,"98.6",,"27",
"Hernández, Jonathan","R",,"97.2",,"97.3",,"27.2",
"Mayza, Tim","L",,"92.8",,,,"22.5",
"Hoeing, Bryan","R",,"94.7",,"98.1",,"37.2","73"
"Cano, Yennier","R",,"96.7",,"99.4",,"15.1",
"Pop, Zach","R",,"85.4",,,,"40.5",
"Bender, Anthony","R",,"79",,"86.9",,"53.9",
"Tate, Dillon","R",,"96",,"98.5",,,
"McCullers Jr., Lance","R",,"74.3","26.7","93.6",,"47.7",
"Garcia, Bryan","R",,"99.3",,"97.1",,"30.8",
"Bird, Jake","R",,"85","47.4","83.8",,,"80.4"
"Smith, Chad","R",,"92",,,,"23.6",
"Blach, Ty","L",,"99.2","24.8","98.7",,,"59.4"
"Lawrence, Justin","R",,"87.5",,,,,
"Valdez, Phillips","R",,"98",,"90.8",,"29.9",
"Robertson, David","R",,,"72.5",,,"45.4",
"Shaw, Bryan","R",,"60.7","50","76.2",,"49.4","82.3"
"Sánchez, Cristopher","L",,"98.5",,"88.8",,"19.7",
"Bummer, Aaron","L",,"79.1","22.7",,,,
"McHugh, Collin","R",,,"47.7",,,,"81.1"
"Jansen, Kenley","R",,"96.4","80",,,"51.8",
"Ashcraft, Graham","R",,"63.1","56.3","80.7",,"53.4",
"Borucki, Ryan","L",,"93.2",,"94.1",,"21.8",
"Cobb, Alex","R",,"90.9",,,,,
"Doval, Camilo","R",,"66.9","65.7",,,"44.6",
"Stammen, Craig","R",,"89.1","51.9","92.7",,"53",
"Wood, Alex","L",,"98.9",,"93.4",,"25.1",
"Hjelle, Sean","R",,"88.9",,"93.2",,,
"Matz, Steven","L",,"99.3",,"83.3",,"56.8","84.8"
"Perdomo, Luis","R",,"92.2",,,,"19.4",
"Kelley, Trevor","R",,"94",,"98.4",,"20.5","47.8"
"Hicks, Jordan","R",,"86.7",,"94.7",,,
"Hader, Josh","L",,"98.6",,"94.7",,"19.2",
"McFarland, T.J.","L",,"89.3",,"93.2",,"44.9",
"Peguero, Elvis","R",,"93.4",,,,"12.5",
"Loup, Aaron","L",,"94.9","14","99.3",,,"67.3"
"De Los Santos, Yerry","R",,"92.4",,,,"27.3",
"Raley, Brooks","L",,"73.6","36.6","84",,,
"Moll, Sam","L",,"67.4",,,,,
"Martínez, Adrián","R",,"98",,"74",,"20.3",
"Poppen, Sean","R",,"96.1",,"92.4",,"57.8",
"Faucher, Calvin","R",,"95.6",,,,,"66.1"
"Yacabonis, Jimmy","R",,"91.2",,"97.6",,,
"Yarbrough, Ryan","L",,"96.9","41.7","93.4",,,"73.5"
"Fleming, Josh","L",,"89.1","31.6","87.2",,,"52"
"Dunning, Dane","R",,"79.7","49","99",,"61.3",
"Luetge, Lucas","L",,,"41.3",,,,"88.6"
"Fedde, Erick","R",,"72.3","51.1","86.3",,,"67.6"
"King, John","L",,"81","19.2","91.9",,"38.7",
"Holmes, Clay","R",,"82.2",,,,"26.7",
"Castro, Miguel","R",,"97.4",,"93.4",,"44.2",
"Norwood, James","R","99.7",,,,,"40.3",
"Banda, Anthony","L","99.6","98.8",,"97.1",,,"41.3"
"Harvey, Hunter","R","99.5",,,,,,"87.3"
"Mahle, Tyler","R","99.5",,"57.6",,,"26.9",
"Wentz, Joey","L","99.5",,"26.4","97.1",,,"79.7"
"Paddack, Chris","R","99.5",,,"94.7",,"19.4","96.4"
"Morgan, Eli","R","99.5",,,"87.4",,"23.4","56.6"
"Crawford, Kutter","R","99.5",,"47.8","98.3",,"29.1",
"Swanson, Erik","R","99.4",,,,,"30.3",
"Cotton, Jharel","R","99.4",,,"76.5",,"37.4","71.5"
"Gray, Josiah","R","99.4","98","30.1","98.5",,"25.3","38.3"
"Estévez, Carlos","R","99.4",,,"88.7",,"31.9",
"Detmers, Reid","L","99.4","99.1",,"97.3",,"27.3","91.2"
"Faedo, Alex","R","99.4",,,"99.3",,"17.6",
"Robles, Hansel","R","99.4",,,"98.8",,"34.7",
"Ryu, Hyun Jin","L","99.3",,"67.1","98.6",,,"84.8"
"Whitlock, Garrett","R","99.3","99.6",,"95",,"25.4",
"García, Jarlín","L","99.3",,,"98",,"35.9",
"Ragans, Cole","L","99.3",,"52.8","97.4",,,"88.2"
"Stanek, Ryne","R","99.3",,,,,"30.4",
"Barnes, Matt","R","99.3",,,"94.8",,,
"Sulser, Beau","R","99.3",,"50.7","95.1",,,
"McClanahan, Shane","L","99.2",,,"98.5",,"25.5","55.6"
"Bautista, Félix","R","99.2",,,,,"38",
"Richards, Trevor","R","99.2",,,"71.8",,,"18.9"
"Gomber, Austin","L","99.2",,,"96.7",,"33.1",
"Gonzales, Marco","L","99.1",,"67.5","96.3",,,"81"
"Seabold, Connor","R","99.1",,,"81.8",,"28.3","46.8"
"Wacha, Michael","R","99.1","98.3","63.8","83.8",,,"82.1"
"Plesac, Zach","R","99.1",,,"99.1",,"45.3","63"
"Kuhl, Chad","R","99.1","99.2",,"98.8",,"27.3",
"Urquidy, José","R","99.1",,"34.8","99.2",,,"80.1"
"Vesia, Alex","L","99.1",,,"99.1",,"36.3",
"Irvin, Cole","L","99.1","98.1","64.2","99.1",,,"47.5"
"Bednar, David","R","99.1",,,,,,"70.1"
"Anderson, Ian","R","99",,,"97.5",,,"46.1"
"Steckenrider, Drew","R","99",,,"96.4",,,"42.9"
"Castillo, Max","R","99",,,"94.1",,"27.3",
"Heaney, Andrew","L","99",,,"99.1",,"17.7",
"Whitley, Kodi","R","99",,,"99.1",,"30.9",
"Anderson, Tyler","L","99","97.6","50.6","95.8",,,"58.2"
"Abreu, Albert","R","99","98.4",,"99.5",,"39.6",
"Brebbia, John","R","98.9",,,,,"39.7",
"Marinaccio, Ron","R","98.9",,,"96",,,
"Kowar, Jackson","R","98.9",,,"75.3",,"45.2",
"Williams, Devin","R","98.9",,,"86.1",,"45.9",
"McGee, Jake","L","98.9",,,,,"45.9",
"Luzardo, Jesús","L","98.9","99",,"98.1",,"13.6",
"Stephenson, Robert","R","98.8",,,,,"38.7","71.5"
"Springs, Jeffrey","L","98.8",,,"97.5",,"38.7",
"Gallegos, Giovanny","R","98.8",,,"99",,"12.6",
"Lee, Dylan","L","98.8",,,"96.8",,"27.2",
"Moreta, Dauri","R","98.8",,,"99.5",,"23.9",
"Weems, Jordan","R","98.8",,,"97.6",,"38.8","66.9"
"Eovaldi, Nathan","R","98.5",,"59.8",,,"40.8","77.1"
"Milner, Hoby","L","98.5","96.7",,"97.9",,,
"Heasley, Jonathan","R","98.5","99.4",,"94.9",,"30.2","79.2"
"Giolito, Lucas","R","98.5",,,"98.1",,"21.4","83.2"
"Manaea, Sean","L","98.5","99",,"96.1",,"25.3",
"Finnegan, Kyle","R","98.5",,,,,"44.3",
"Lodolo, Nick","L","98.5","98.8",,"95.1",,,"51.5"
"Smith, Caleb","L","98.4",,,"99.2",,"39.4","52.3"
"Odorizzi, Jake","R","98.3",,"69.1",,,"43.6","72.5"
"Winder, Josh","R","98.3",,,"98.9",,"10.2","75.6"
"McKenzie, Triston","R","98.2",,,,,"61.2","66.3"
"Jackson, Zach","R","98.2",,,,,"25.8",
"Hill, Garrett","R","98.2","98.2",,"99.1",,"24.4",
"Cabrera, Génesis","L","98.2","95.2",,"96.6",,,"74.2"
"Abbott, Cory","R","98.1",,,,,"72.6",
"Walker, Taijuan","R","98.1","97.2","54.2",,,"29.9","72.5"
"López, Jorge","R","98.1","96.1",,"98.2",,"39.8",
"Oller, Adam","R","98.1","99.1","60.1","95.7",,"48","62.3"
"Gausman, Kevin","R","98",,,"74.6",,"17.3",
"Poche, Colin","L","98",,,,,"42.7","58.6"
"Gillaspie, Logan","R","98",,,"98.1",,"40.8","75.3"
"Diekman, Jake","L","98","97.7",,"99.1",,,
"Allard, Kolby","L","98",,"43.1","98.6",,,"88.6"
"Johnson, Pierce","R","97.9",,,,,,"50.5"
"Nelson, Ryne","R","97.9",,,"98.7",,"47.6","74"
"Duran, Jhoan","R","97.9",,,,,"18.7","36.3"
"Sampson, Adrian","R","97.9","99","26.2","98.8",,"41",
"Davies, Zach","R","97.9","97.9","75.3","98.9",,"66.2","74.8"
"Wisler, Matt","R","97.8",,,,,"25.5",
"Pepiot, Ryan","R","97.8",,,"91.6",,"37.3",
"Sears, JP","L","97.8",,,"99.5",,,"47.3"
"Kelly, Joe","R","97.7","96.8",,"97.9",,"45.1",
"Lambert, Jimmy","R","97.6",,,"98.3",,"27.6",
"Foster, Matt","R","97.6",,,"98.3",,"41.8","65.4"
"Kennedy, Ian","R","97.5",,"28",,,"45",
"Cole, Gerrit","R","97.5",,"42.2","98.4",,"23.6",
"Pivetta, Nick","R","97.5",,"42.4",,,"41.9",
"Hoffman, Jeff","R","97.4",,,,,"59.3",
"Strahm, Matt","L","97.4","98.4","38.1","97",,,"39.1"
"Greene, Hunter","R","97.4",,,"91.8",,"42.1",
"Long, Sam","L","97.4","98.8",,"94.9",,,"76.3"
"Quantrill, Cal","R","97.3","97.5","41.8","97.9",,,"27.9"
"Colomé, Alex","R","97.3",,"56",,,,
"Goudeau, Ashton","R","97.3",,,"99.1",,,"74"
"Brogdon, Connor","R","97.2",,"60.2","98.1",,,
"Rogers, Josh","L","97.2","94.6",,"98",,"18.9",
"Pérez, Martín","L","97.2","97.8","67.2","99.4",,"21.4","39.1"
"Ort, Kaleb","R","97.1",,,"98.3",,"46.1",
"Karinchak, James","R","97.1",,,,,,"52.7"
"Thompson, Zack","L","97",,,"94.1",,"27.9","92"
"Moore, Matt","L","97",,,"97",,,
"Hudson, Daniel","R","97","97.9",,"94.4",,"27.4",
"Brigham, Jeff","R","97",,,,,,
"Verlander, Justin","R","97",,,"98",,"30.1","60.1"
"Gonsolin, Tony","R","96.9",,,,,"30.4","60.2"
"Rainey, Tanner","R","96.9",,,,,"23.7",
"Akin, Keegan","L","96.8",,,"98.6",,"30.6",
"Jiménez, Joe","R","96.8",,,"95.2",,"25.1",
"Shreve, Chasen","L","96.8",,,,,"46.6",
"Bass, Anthony","R","96.8","94.5",,,,"34.5",
"Sborz, Josh","R","96.7",,,,,"8.8","74.8"
"Kopech, Michael","R","96.7",,,"94.2",,"30.4","59.2"
"DeSclafani, Anthony","R","96.6","94.8",,"96.3",,"44.4",
"Bieber, Shane","R","96.5",,"38.8","97.9",,"17.2",
"Archer, Chris","R","96.5",,,"96",,"37.8","40.5"
"Burke, Brock","L","96.4","96.4",,"92.9",,"39.9",
"Littell, Zack","R","96.4",,,,,"40.9",
"Skubal, Tarik","L","96.3","95.1",,"81.3",,"48.1",
"Jefferies, Daulton","R","96.3","98.5","74.1","93.8",,,"38"
"Ortiz, Luis L.","R","96.3","94.4",,"99.4",,"20.3",
"Lemoine, Jacob","R","96.3","97.2",,"90.4",,"28.6",
"Ryan, Joe","R","96.3",,,"99.4",,"22.9","66"
"Kikuchi, Yusei","L","96.3",,"60.3","88.8",,"25.8",
"Espinoza, Anderson","R","96.3",,,,,"42.8",
"Baumann, Mike","R","96.2",,,"99.2",,"49.1",
"Gose, Anthony","L","96.2",,,,,"33.2",
"Vest, Will","R","96.2",,,"97.1",,"36.5",
"Wells, Tyler","R","96.1",,"50","96",,,"66.4"
"Nola, Aaron","R","96.1","94.3","42.3","99.4",,,
"Beede, Tyler","R","96.1","96.2",,"91.5",,"23.4","90.8"
"Guerra, Javy","R","96","96.4",,,,"30.9",
"De Los Santos, Enyel","R","96",,,"99.7",,"17",
"Machado, Andrés","R","95.9","94.2",,"88.2",,"37.8",
"Wilson, Steven","R","95.9",,,"99.1",,"41.7",
"Hendriks, Liam","R","95.9",,,,,"23.6","66.5"
"Acevedo, Domingo","R","95.8",,,"96",,"66.2",
"Krehbiel, Joey","R","95.8",,"42.3","94.7",,"67.2",
"Gray, Jon","R","95.8",,,"99.1",,"19.7","79.9"
"Fernández, Junior","R","95.8","95.6",,"95.4",,"25.1",
"Gore, MacKenzie","L","95.8",,,"92.7",,"35.4","62.1"
"Chafin, Andrew","L","95.8","95",,,,"18.5",
"Leiter Jr., Mark","R","95.7","90.9","51.7",,,"49","94.4"
"Lauer, Eric","L","95.7",,"60.1","97.6",,"37.4","56.7"
"Peralta, Wily","R","95.7","97.3",,,,"15.7",
"Barlow, Joe","R","95.7","96",,,,"41.9","46.6"
"Nelson, Nick","R","95.6",,,"97.4",,"29.9","46.7"
"Gilbert, Logan","R","95.5","98.2",,"99.4",,"39.2",
"Sawamura, Hirokazu","R","95.4",,,,,"24.2",
"Arihara, Kohei","R","95.4","95","66.3","92",,"27.7",
"Javier, Cristian","R","95.4",,,"82.5",,"43",
"Hughes, Brandon","L","95.3","95.3",,,,"20.8",
"Grove, Michael","R","95.3",,,,,"32",
"Howard, Spencer","R","95.3",,,"99.6",,"28.9","99"
"Díaz, Edwin","R","95.3",,,,,"23.2",
"Cousins, Jake","R","95.2","97.6",,,,"49.5",
"Smith, Will","L","95.2","94.7",,,,"18.8","59.6"
"Bañuelos, Manny","L","95.2","92",,"97.1",,"29.5","38.1"
"Lugo, Seth","R","95.2","93.6",,"95.9",,"42.5","80.2"
"Pilkington, Konnor","L","95.2",,,"97.7",,"21.2","82"
