"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Bass, Anthony","R",,"95.1",,,,"32.9",
"Smith, Riley","R",,"86.1",,,,"29.5","72.9"
"Crichton, Stefan","R",,"97.2",,,,,"79.6"
"Cobb, Alex","R",,"97.3",,,,,
"Valdez, Phillips","R",,"95",,"80.4",,"39.9",
"Weber, Ryan","R",,"93.2","47.1","96.2",,"78","96.6"
"Triggs, Andrew","R",,"70.7",,,,"23.7","66.8"
"Brewer, Colten","R",,,"63.8",,,"39.8","82.8"
"Jones, Nate","R",,"88.2",,,,"20",
"Pazos, James","L",,"91.4",,,,"40.5",
"Tinoco, Jesus","R",,"89.7",,,,"21.1","34.2"
"Scrubb, Andre","R",,,"74.1",,,,
"Sneed, Cy","R",,,"88.6",,,"36.2","73.6"
"McCullers Jr., Lance","R",,"79.4","49","89.4",,,
"Singer, Brady","R",,"87.1",,"97.1",,"34.7",
"Hahn, Jesse","R",,"99.2",,,,"73.2","94.5"
"Graterol, Brusdar","R",,"91.7",,,,"29.3",
"Jansen, Kenley","R",,"87.1","70.8",,,"50.4",
"Santana, Dennis","R",,"83.5",,"82.9",,"25.2",
"Wood, Alex","L",,"97.6",,"94.7",,"14.3",
"Alexander, Scott","L",,"81",,,,"23.9",
"Harris, Will","R",,,"64",,,,"90.5"
"Suero, Wander","R",,,"60.8","70.3",,,"78.6"
"Bacus, Dakota","R",,"61.3",,,,"18.8","84.4"
"Matz, Steven","L",,"99.4",,"85.4",,"39.9","86.1"
"Castro, Miguel","R",,"96.2",,"91",,"33.3",
"Ramírez, Erasmo","R",,"84.2","61.8","84.4",,,"38.1"
"McFarland, T.J.","L",,"87",,"92.7",,"54.7",
"Manaea, Sean","L",,"92.2","49.5","84",,"39.7",
"Hartlieb, Geoff","R",,"78.5",,,,"42.7",
"Davies, Zach","R",,"98.2","80.3","98.6",,,"69.9"
"Perdomo, Luis","R",,"91.9",,,,"13.8",
"Guerra, Javy","R",,"93.9",,,,"33.1",
"Grotz, Zac","R",,"94.4",,,,"11.2","36.3"
"Shaw, Bryan","R",,,"52.2",,,"52.2","70.4"
"Brennan, Brandon","R",,"89",,"99.3",,"26.5",
"Sadler, Casey","R",,"86.2","31.1","87.1",,,"58"
"Sheffield, Justus","L",,"87.5",,"83",,"34.7",
"Guilbeau, Taylor","L",,"78.5",,"95.9",,"8.6",
"Fletcher, Aaron","L",,"98.2",,"89.8",,"33.1",
"Smyly, Drew","L",,"98.5","58.3",,,,
"Watson, Tony","L",,"95.3",,"99.6",,"17",
"Elledge, Seth","R",,"98.1",,,,"52",
"Castillo, Diego","R",,"93.4",,,,"13.6",
"Roe, Chaz","R",,"73.4","38.9",,,,
"Alvarado, José","L",,"84.5","21",,,,"35.7"
"Yarbrough, Ryan","L",,"97.6","43","94.8",,,"78.3"
"Kittredge, Andrew","R",,"83.5",,,,"40",
"Sherriff, Ryan","L",,"83.1",,,,"29.9",
"Fleming, Josh","L",,"91.1","40.3","76.2",,,
"Loup, Aaron","L",,"96.4","14.6","99.3",,,"72"
"King, John","L",,"83.2",,"97",,"41.8",
"Hernández, Jonathan","R",,"99.2",,"95.3",,"29.1",
"Dolis, Rafael","R",,"93.2",,,,"39.8",
"Zeuch, T.J.","R",,"80.4","38.9","97.2",,"29.5",
"Borucki, Ryan","L",,"96.4",,"92.9",,"22.2",
"Murphy, Patrick","R",,"88.5",,,,,"78.8"
"Poppen, Sean","R",,"97.2",,,,"50.1",
"Rogers, Taylor","L",,"93.1",,,,,
"Hunter, Tommy","R",,"80.9","56.1",,,,"54.6"
"Arrieta, Jake","R",,"85.8",,"90.8",,"44.4","76.5"
"Greene, Shane","R",,"85","45.3","89",,,
"Melancon, Mark","R",,,"60.9",,,,
"Kintzler, Brandon","R",,"86.4",,"96.9",,"14.8",
"Tarpley, Stephen","L",,"78.9",,,,,"50.1"
"Bleier, Richard","L",,"84.8","55.2","97.6",,"45",
"Ottavino, Adam","R",,"77.1","29.7","74.1",,,
"Avilán, Luis","L",,"90.9",,"74.8",,,
"Britton, Zack","L",,"81.3",,,,"55.4",
"Topa, Justin","R",,"87.3",,,,"56.6",
"Yardley, Eric","R",,"99.1",,,,,"77.9"
"Hader, Josh","L",,"97.8",,,,"36.9",
"Finnegan, Kyle","R","99.6",,,,,"47.8",
"Goudeau, Ashton","R","99.6",,,"97.8",,,"81.1"
