"","Relative Importance"
"OPSplus",0.182056915302136
"Rbat",0.167736130712111
"oWAR",0.120837417037293
"WAA",0.0983650980912513
"WAR",0.0848313534352872
"H",0.0772542842281163
"Singles",0.0465937188925216
"BB",0.0448495599586969
"PA",0.0412999889387083
"dWAR",0.0360362315692206
"Doubles",0.0239549122795981
"Rbaser_plus_Rdp",0.022868562835736
"R",0.0202986878111369
"SB",0.0185809436072634
"Triples",0.014436195300924
