Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Ryan Jeffers,MIN,47,184,10,23,33,2,0.065217391,0.233695652,0.270440251,0.284403669,0.257861635,0.342391304,0.528301886,0.369736945,,143.6322387,0.011615309,9.331852966,-1.422980679,1.436660685,Ryan Jeffers,24618,680777
Colton Cowser,BAL,50,168,7,19,24,3,0.113095238,0.297619047,0.220689655,0.322222222,0.248275862,0.339285714,0.468965517,0.3459726,,128.2982476,0.472488219,5.99161653,2.396428951,1.431528579,Colton Cowser,29591,681297
Rafael Devers,BOS,43,187,10,27,24,1,0.122994652,0.240641711,0.254658385,0.317757009,0.273291925,0.368983957,0.52795031,0.37703202,,141.7135854,-0.252275941,8.803398336,-1.23626143,1.411763707,Rafael Devers,17350,646240
Brenton Doyle,COL,51,209,5,35,15,14,0.09090909,0.28229665,0.155913978,0.368852459,0.268817204,0.339805825,0.424731182,0.333989374,,101.6366704,2.918584842,3.328288239,3.336324036,1.409974003,Brenton Doyle,25479,686668
Willy Adames,MIL,53,233,8,27,35,8,0.0944206,0.214592274,0.19138756,0.289473684,0.248803827,0.321888412,0.440191387,0.33016712,,111.3856729,0.590176068,3.767611154,1.955888229,1.39670186,Willy Adames,15986,642715
Jazz Chisholm Jr.,MIA,54,226,8,27,27,10,0.088495575,0.24778761,0.19117647,0.328571428,0.264705882,0.336283185,0.455882352,0.340216025,,116.8112483,1.736691596,6.287310483,-0.341025852,1.395264726,Jazz Chisholm Jr.,20454,665862
Matt Chapman,SFG,54,229,8,37,27,5,0.07860262,0.23580786,0.182692307,0.280821917,0.235576923,0.305676855,0.41826923,0.313756816,,103.0797936,1.609743483,2.454475903,3.21054934,1.376808334,Matt Chapman,16505,656305
Freddie Freeman,LAD,55,241,5,31,30,1,0.128630705,0.165975103,0.15920398,0.327044025,0.283582089,0.390041493,0.442786069,0.359661358,,133.2345209,-1.174305827,8.419005271,-3.351357084,1.357152768,Freddie Freeman,5361,518692
Christian Walker,ARI,53,227,10,35,33,1,0.123348017,0.233480176,0.193717278,0.300751879,0.261780104,0.356828193,0.455497382,0.351226738,,124.7743699,-1.895912767,4.839908229,0.696611539,1.356670605,Christian Walker,13419,572233
Masyn Winn,STL,47,169,2,16,15,7,0.082840236,0.165680473,0.133333333,0.349593495,0.3,0.353293413,0.433333333,0.337694194,,118.2319648,1.427633021,5.118107798,2.250149533,1.343305412,Masyn Winn,27479,691026
Josh Smith,TEX,52,186,2,24,20,2,0.091397849,0.188172043,0.130434783,0.346774193,0.279503105,0.376344086,0.409937888,0.349398365,,128.2982552,-0.069199133,6.041265997,0.779292629,1.331724176,Josh Smith,26396,669701
Maikel Garcia,KCR,53,241,5,32,34,13,0.062240663,0.174273858,0.148648648,0.310734463,0.27027027,0.313807531,0.418918918,0.316238177,,100.3522087,3.290417815,3.388959239,1.5166587,1.321875014,Maikel Garcia,22715,672580
Corey Seager,TEX,49,218,11,25,24,0,0.119266055,0.174311926,0.189473685,0.267605633,0.257894736,0.348623853,0.447368421,0.33922755,,121.2097176,-2.168717869,3.199041588,2.433921859,1.318453544,Corey Seager,13624,608369
Ha-Seong Kim,SDP,56,224,6,27,23,13,0.142857142,0.178571428,0.142857143,0.243055555,0.216931216,0.331838565,0.359788359,0.304879179,,98.67416664,1.768074459,1.412362045,3.268787132,1.258439754,Ha-Seong Kim,27506,673490
Nico Hoerner,CHC,47,204,2,27,15,6,0.098039215,0.102941176,0.112359551,0.288461538,0.264044943,0.352941176,0.376404494,0.323139954,,108.9804481,0.643414504,2.837685368,2.283124208,1.234122957,Nico Hoerner,21479,663538
Cal Raleigh,SEA,49,187,11,24,29,0,0.09090909,0.347593582,0.221556886,0.258064516,0.209580838,0.283422459,0.431137724,0.307649963,,105.3820922,-0.986361219,0.182046478,5.430461782,1.211100138,Cal Raleigh,21534,663728
Jake Cronenworth,SDP,53,231,8,24,35,1,0.086580086,0.168831168,0.197044335,0.295597484,0.27093596,0.337719298,0.467980295,0.345788136,,126.3091293,-0.704963238,6.574184253,-2.749181474,1.194855582,Jake Cronenworth,18036,630105
Bryson Stott,PHI,50,194,5,31,30,13,0.134020618,0.128865979,0.15,0.259259259,0.25,0.355670103,0.4,0.331981134,,112.5374063,1.8670002,4.780208204,0.256478222,1.190760491,Bryson Stott,26294,681082
Willi Castro,MIN,53,200,4,26,16,7,0.085,0.255,0.162921349,0.330645161,0.252808988,0.33,0.415730337,0.325466567,,112.7780524,-0.168552622,2.798302424,2.125017984,1.184486171,Willi Castro,17338,650489
Brandon Nimmo,NYM,49,219,7,27,29,4,0.141552511,0.232876712,0.172222222,0.262295081,0.216666666,0.356164383,0.388888888,0.333084116,,117.7845372,0.610813941,5.27578276,-1.241973827,1.174620182,Brandon Nimmo,12927,607043
Taylor Ward,LAA,52,224,11,29,32,2,0.084821428,0.21875,0.208955224,0.303448275,0.27363184,0.330357142,0.482587064,0.34673053,,124.3584095,-1.653292682,4.681007078,-0.855528327,1.153267515,Taylor Ward,17548,621493
Teoscar Hernández,LAD,55,228,12,31,38,3,0.087719298,0.293859649,0.234146341,0.325396825,0.258536585,0.330396475,0.492682926,0.353617696,,129.1518854,-0.0593185,7.901606968,-4.896619797,1.100254299,Teoscar Hernandez,13066,606192
Abraham Toro,OAK,52,207,5,27,19,2,0.04347826,0.178743961,0.144329897,0.322368421,0.278350515,0.323671497,0.422680412,0.324918515,,115.2719003,-0.089965796,3.580026,-0.068947113,1.063271361,Abraham Toro,19844,647351
José Caballero,TBR,47,179,2,22,16,19,0.055865921,0.273743016,0.104938271,0.357142857,0.259259259,0.31638418,0.36419753,0.300291234,,98.37427366,0.843713211,0.505880155,3.899052028,1.059967334,Jose Caballero,23401,676609
Brandon Marsh,PHI,48,171,6,19,24,8,0.105263157,0.280701754,0.166666667,0.343434343,0.266666666,0.339181286,0.433333333,0.334391824,,114.165884,0.719205175,3.620566746,0.888569275,1.056731247,Brandon Marsh,20202,669016
JJ Bleday,OAK,55,214,8,22,22,0,0.098130841,0.191588785,0.223958333,0.265734265,0.239583333,0.31455399,0.463541666,0.331233632,,119.6732135,-1.085946445,3.801598297,-0.704567579,1.044531792,JJ Bleday,26368,668709
Vladimir Guerrero Jr.,TOR,53,233,5,24,25,1,0.128755364,0.18025751,0.123762377,0.354838709,0.297029702,0.390557939,0.420792079,0.358196402,,135.939267,-1.55302794,8.168327057,-5.850882297,1.029009129,Vladimir Guerrero Jr.,19611,665489
Ronald Acuña Jr.,ATL,49,222,4,38,15,16,0.121621621,0.238738738,0.114583333,0.325925925,0.25,0.351351351,0.364583333,0.321583876,,104.4311667,2.554073858,3.732312124,-1.249261701,1.025836106,Ronald Acuna Jr.,18401,660670
Fernando Tatis Jr.,SDP,57,250,9,35,28,6,0.096,0.216,0.167420814,0.283018867,0.244343891,0.328,0.411764705,0.324522264,,111.9435325,-0.336841223,3.23946638,-1.909061216,1.004738429,Fernando Tatis Jr.,19709,665487
Riley Greene,DET,52,222,9,33,20,1,0.13063063,0.265765765,0.198952879,0.282258064,0.230366492,0.333333333,0.429319371,0.331611253,,116.7658706,-0.037776697,4.283188327,-1.892272352,0.999203733,Riley Greene,25976,682985
